Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.002000	1.123334	1.126719	40.446429	30.375000	
0.002000	1.059828	0.990384	46.964286	48.375000	
0.002000	1.086594	1.026932	46.357143	49.375000	
0.002000	1.015528	0.971940	52.017857	55.000000	
0.002000	0.978891	1.027568	55.410714	61.250000	
0.002000	0.956379	0.803732	57.107143	68.625000	
0.002000	0.928835	1.103830	58.267857	64.125000	
0.002000	0.885900	0.660203	60.357143	71.375000	
0.002000	0.897014	0.850372	60.535714	57.625000	
0.002000	0.859523	1.229508	62.482143	60.750000	
0.000200	0.871122	0.814100	62.089286	63.875000	
0.000200	0.773111	0.660169	64.964286	70.125000	
0.000200	0.751058	0.610025	66.285714	72.250000	
0.000200	0.741364	0.658011	66.946429	70.375000	
0.000200	0.740941	0.634402	67.250000	71.125000	
0.000200	0.740407	0.640232	66.803571	72.625000	
0.000200	0.730429	0.611546	67.142857	73.000000	
0.000200	0.736311	0.605161	67.017857	74.500000	
0.000200	0.731756	0.652678	67.839286	72.000000	
0.000200	0.729825	0.607358	67.821429	73.625000	
0.000020	0.716372	0.601319	68.178571	74.250000	
0.000020	0.708132	0.623767	68.785714	72.625000	
0.000020	0.714746	0.613459	68.553571	73.000000	
0.000020	0.702104	0.599764	69.285714	74.500000	
0.000020	0.708903	0.607290	68.714286	73.250000	
0.000020	0.692759	0.613719	69.785714	73.500000	
0.000020	0.696736	0.627455	69.196429	73.375000	
0.000020	0.700679	0.603809	68.767857	74.250000	
0.000020	0.692377	0.610342	69.071429	73.875000	
0.000020	0.668566	0.616628	70.571429	73.250000	
0.000002	0.671470	0.623273	70.500000	73.625000	
0.000002	0.633158	0.615123	71.982143	73.750000	
0.000002	0.598010	0.617998	74.267857	73.375000	
0.000002	0.681223	0.617404	69.500000	73.250000	
0.000002	0.684504	0.606462	69.017857	73.875000	
0.000002	0.673131	0.615111	70.071429	73.500000	
0.000002	0.680648	0.605780	69.875000	74.250000	
0.000002	0.683063	0.610050	69.303571	73.875000	
0.000002	0.677366	0.612704	69.857143	73.500000	
0.000002	0.684579	0.620573	70.053571	73.250000	
