Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.002000	0.698002	0.463932	67.660714	80.375000	
0.002000	0.593115	0.458723	73.464286	80.250000	
0.002000	0.558919	0.417940	75.410714	82.125000	
0.002000	0.535216	0.402838	76.839286	83.625000	
0.002000	0.520323	0.445058	77.964286	82.750000	
0.002000	0.494911	0.432278	79.035714	82.875000	
0.002000	0.478245	0.498361	79.428571	80.875000	
0.002000	0.455560	0.465460	80.750000	81.750000	
0.002000	0.445983	0.433485	81.303571	83.250000	
0.002000	0.435030	0.539384	81.267857	80.500000	
0.000200	0.368444	0.494182	84.803571	81.875000	
0.000200	0.305961	0.491991	87.267857	81.500000	
0.000200	0.278303	0.503743	88.607143	81.000000	
0.000200	0.257695	0.521215	89.750000	81.875000	
0.000200	0.242918	0.516267	90.571429	82.625000	
0.000200	0.219583	0.565787	91.750000	81.625000	
0.000200	0.195929	0.524197	93.000000	83.000000	
0.000200	0.175098	0.569142	93.946429	81.625000	
0.000200	0.155843	0.605248	94.410714	80.625000	
0.000200	0.138950	0.595673	95.375000	81.375000	
0.000020	0.334259	0.580983	86.714286	81.625000	
0.000020	0.310876	0.587339	87.303571	81.250000	
0.000020	0.097973	0.574711	97.500000	81.125000	
0.000020	0.093636	0.573227	97.607143	81.625000	
0.000020	0.216475	0.566834	91.517857	81.250000	
0.000020	0.089387	0.572678	97.714286	82.000000	
0.000020	0.208655	0.568140	91.821429	81.250000	
0.000020	0.191906	0.558758	92.785714	81.625000	
0.000020	0.179137	0.584948	93.178571	81.375000	
0.000020	0.169817	0.570161	93.607143	82.000000	
0.000002	0.156603	0.581928	94.625000	82.375000	
0.000002	0.135626	0.549266	95.625000	82.125000	
0.000002	0.124846	0.575811	96.267857	81.500000	
0.000002	0.110153	0.588676	96.839286	81.875000	
0.000002	0.101398	0.570885	97.339286	82.375000	
0.000002	0.252905	0.585171	90.535714	81.750000	
0.000002	0.301347	0.594252	88.107143	82.250000	
0.000002	0.310976	0.580228	87.767857	81.500000	
0.000002	0.325654	0.564421	87.214286	82.000000	
0.000002	0.303673	0.573144	88.053571	82.500000	
