ID,label
0000.jpg,A
0001.jpg,B
0002.jpg,B
0003.jpg,B
0004.jpg,B
0005.jpg,A
0006.jpg,B
0007.jpg,C
0008.jpg,A
0009.jpg,C
0010.jpg,B
0011.jpg,C
0012.jpg,B
0013.jpg,B
0014.jpg,C
0015.jpg,C
0016.jpg,B
0017.jpg,B
0018.jpg,B
0019.jpg,C
0020.jpg,C
0021.jpg,B
0022.jpg,B
0023.jpg,B
0024.jpg,A
0025.jpg,B
0026.jpg,B
0027.jpg,B
0028.jpg,B
0029.jpg,B
0030.jpg,A
0031.jpg,A
0032.jpg,A
0033.jpg,C
0034.jpg,B
0035.jpg,B
0036.jpg,B
0037.jpg,C
0038.jpg,C
0039.jpg,B
0040.jpg,B
0041.jpg,C
0042.jpg,C
0043.jpg,B
0044.jpg,B
0045.jpg,C
0046.jpg,A
0047.jpg,A
0048.jpg,C
0049.jpg,A
0050.jpg,B
0051.jpg,B
0052.jpg,A
0053.jpg,A
0054.jpg,A
0055.jpg,B
0056.jpg,B
0057.jpg,C
0058.jpg,B
0059.jpg,A
0060.jpg,A
0061.jpg,B
0062.jpg,C
0063.jpg,A
0064.jpg,C
0065.jpg,C
0066.jpg,A
0067.jpg,A
0068.jpg,C
0069.jpg,A
0070.jpg,B
0071.jpg,B
0072.jpg,B
0073.jpg,B
0074.jpg,B
0075.jpg,B
0076.jpg,B
0077.jpg,B
0078.jpg,B
0079.jpg,A
0080.jpg,B
0081.jpg,A
0082.jpg,B
0083.jpg,A
0084.jpg,B
0085.jpg,B
0086.jpg,B
0087.jpg,A
0088.jpg,A
0089.jpg,C
0090.jpg,B
0091.jpg,A
0092.jpg,C
0093.jpg,B
0094.jpg,A
0095.jpg,B
0096.jpg,A
0097.jpg,B
0098.jpg,A
0099.jpg,C
0100.jpg,C
0101.jpg,B
0102.jpg,C
0103.jpg,B
0104.jpg,B
0105.jpg,B
0106.jpg,B
0107.jpg,B
0108.jpg,B
0109.jpg,C
0110.jpg,A
0111.jpg,B
0112.jpg,B
0113.jpg,C
0114.jpg,B
0115.jpg,A
0116.jpg,C
0117.jpg,B
0118.jpg,C
0119.jpg,C
0120.jpg,B
0121.jpg,A
0122.jpg,B
0123.jpg,A
0124.jpg,B
0125.jpg,A
0126.jpg,A
0127.jpg,A
0128.jpg,A
0129.jpg,A
0130.jpg,A
0131.jpg,A
0132.jpg,A
0133.jpg,C
0134.jpg,A
0135.jpg,B
0136.jpg,B
0137.jpg,C
0138.jpg,C
0139.jpg,A
0140.jpg,B
0141.jpg,B
0142.jpg,B
0143.jpg,B
0144.jpg,A
0145.jpg,B
0146.jpg,B
0147.jpg,A
0148.jpg,B
0149.jpg,B
0150.jpg,C
0151.jpg,A
0152.jpg,B
0153.jpg,C
0154.jpg,C
0155.jpg,C
0156.jpg,A
0157.jpg,B
0158.jpg,A
0159.jpg,C
0160.jpg,B
0161.jpg,A
0162.jpg,A
0163.jpg,C
0164.jpg,B
0165.jpg,A
0166.jpg,B
0167.jpg,A
0168.jpg,B
0169.jpg,C
0170.jpg,B
0171.jpg,A
0172.jpg,B
0173.jpg,A
0174.jpg,C
0175.jpg,B
0176.jpg,A
0177.jpg,C
0178.jpg,A
0179.jpg,B
0180.jpg,A
0181.jpg,A
0182.jpg,B
0183.jpg,C
0184.jpg,A
0185.jpg,B
0186.jpg,A
0187.jpg,C
0188.jpg,A
0189.jpg,C
0190.jpg,A
0191.jpg,A
0192.jpg,A
0193.jpg,B
0194.jpg,C
0195.jpg,A
0196.jpg,B
0197.jpg,B
0198.jpg,A
0199.jpg,B
0200.jpg,C
